idEquipa,nome,classificacao,pontos,numJogos,golosMarcados,golosSofridos,diferencaGolos
1,"Palmeiras",1,81,38,66,27,"+39"
2,"Internacional",2,73,38,58,31,"+27"
3,"Fluminense",3,70,38,63,41,"+22"
4,"Corinthians",4,65,38,44,36,"+8"
5,"Flamengo",5,62,38,60,39,"+21"
6,"Athletico Paranaense",6,58,38,48,48,"0"
7,"Atlético Mineiro",7,58,38,45,37,"+8"
8,"Fortaleza",8,55,38,46,39,"+7"
9,"São Paulo",9,54,38,55,42,"+13"
10,"América Mineiro",10,53,38,40,40,"0"
11,"Botafogo",11,53,38,41,43,"-2"
12,"Santos",12,47,38,44,41,"+3"
13,"Goiás",13,46,38,40,53,"-13"
14,"Red Bull Bragantino",14,44,38,49,59,"-10"
15,"Coritiba",15,42,38,39,60,"-21"
16,"Cuiabá",16,41,38,31,42,"-11"
17,"Ceará",17,37,38,34,41,"-7"
18,"Atlético Goianiense",18,36,38,39,57,"-18"
19,"Avaí",19,35,38,34,60,"-26"
20,"Juventude",20,22,38,29,69,"-40"
