idJogador,nome,idade,numero,posicao,idEquipa
1,"Pegorari","31 anos",1,"Guarda Redes",20
2,"William","24 anos",21,"Guarda Redes",20
3,"César","27 anos",31,"Guarda Redes",20
4,"Arthur","20 anos",43,"Guarda Redes",20
5,"Felipe Alves","34 anos",1,"Guarda Redes",20
6,"Rodrigo Soares","29 anos",2,"Defesa",20
7,"Nicolas","19 anos",26,"Defesa",20
8,"Paulo Henrique","26 anos",96,"Defesa",20
9,"Renato Chaves","32 anos",3,"Defesa",20
10,"Thalisson","24 anos",4,"Defesa",20
11,"Rafael Forster","32 anos",12,"Defesa",20
12,"Lucas Ramires","20 anos",25,"Defesa",20
13,"Paulo Miranda","34 anos",28,"Defesa",20
14,"Vitor Mendes","23 anos",34,"Defesa",20
15,"Ygor Nogueira","27 anos",44,"Defesa",20
16,"Danilo Boza","24 anos",3,"Defesa",20
17,"William Matheus","32 anos",6,"Defesa",20
18,"Cauê","17 anos",13,"Defesa",20
19,"Moraes","25 anos",20,"Defesa",20
20,"Dudu","20 anos",36,"Defesa",20
21,"Jeder","20 anos",27,"Defesa",20
22,"Odivan","23 anos",34,"Defesa",20
23,"Busanello","24 anos",90,"Defesa",20
24,"Rafinha","20 anos",30,"Médio",20
25,"Jean Irmer","28 anos",5,"Médio",20
26,"Kelvi","20 anos",15,"Médio",20
27,"Jádson","29 anos",16,"Médio",20
28,"Elton","32 anos",17,"Médio",20
29,"Pará","20 anos",26,"Médio",20
30,"Rômulo","22 anos",32,"Médio",20
31,"Anderson Leite","29 anos",33,"Médio",20
32,"Guilherme Gehring","17 anos",35,"Médio",20
33,"Yuri","28 anos",50,"Médio",20
34,"Bruno Nazário","27 anos",22,"Médio",20
35,"Chico Kim","31 anos",23,"Médio",20
36,"Marlon","32 anos",25,"Médio",20
37,"Gabriel Tota","21 anos",88,"Médio",20
38,"Óscar Ruiz","31 anos",11,"Médio",20
39,"Ricardinho","33 anos",5,"Médio",20
40,"Bruninho","22 anos",13,"Médio",20
41,"Rodrigo Bassani","25 anos",33,"Médio",20
42,"Darlan Mendes","24 anos",8,"Médio",20
43,"Weliton","17 anos",27,"Avançado",20
44,"Ruan","17 anos",29,"Avançado",20
45,"Felipe Pires","27 anos",19,"Avançado",20
46,"Edinho","28 anos",58,"Avançado",20
47,"Guilherme Parede","27 anos",77,"Avançado",20
48,"Ricardo Bueno","35 anos",9,"Avançado",20
49,"Vitor Gabriel","22 anos",63,"Avançado",20
50,"Isidro Pitta","23 anos",80,"Avançado",20
