idJogo,jornada,dia,resultado,estadio
1,7,"2022-05-12","1-1","Nabi Abi Chedid (BRA)"
2,5,"2022-05-10","2-1","Aderbal Ramos da Silva (Ressacada) (BRA)"
3,5,"2022-05-08","1-1","Governador Plácido Aderaldo Castelo (Castelão) (BRA)"
4,5,"2022-05-08","1-1","Alfredo Jaconi (BRA)"
5,5,"2022-05-08","4-1","Urbano Caldeira (Vila Belmiro) (BRA)"
6,5,"2022-05-08","0-1","Nabi Abi Chedid (BRA)"
7,5,"2022-05-08","0-1","Antônio Accioly (BRA)"
8,5,"2022-05-08","1-1","Allianz Parque (Arena Palestra Itália) (BRA)"
9,5,"2022-05-08","0-1","Estádio Nacional Mané Garrincha (BRA)"
10,5,"2022-05-08","1-0","Joaquim Américo Guimarães (Arena da Baixada) (BRA)"
11,5,"2022-05-07","1-2","Raimundo Sampaio (Arena Independência) (BRA)"
12,4,"2022-05-03","2-1","Cícero Pompeu de Toledo (Morumbi) (BRA)"
13,4,"2022-05-01","0-0","José Pinheiro Borda (Beira-Rio) (BRA)"
14,4,"2022-05-01","1-0","Neo Química Arena (Arena Corinthians) (BRA)"
15,4,"2022-05-01","3-2","Estádio Major Antônio Couto Pereira (BRA)"
16,4,"2022-05-01","1-1","Estádio Olímpico Nilton Santos (Engenhão) (BRA)"
17,4,"2022-04-30","1-1","Arena Pantanal (BRA)"
18,4,"2022-04-30","2-2","Hailé Pinheiro (Serrinha) (BRA)"
19,4,"2022-04-30","1-0","Raimundo Sampaio (Arena Independência) (BRA)"
20,4,"2022-04-30","0-1","Governador Plácido Aderaldo Castelo (Castelão) (BRA)"
21,3,"2022-04-26","3-2","Aderbal Ramos da Silva (Ressacada) (BRA)"
22,3,"2022-04-24","0-1","Alfredo Jaconi (BRA)"
23,3,"2022-04-24","3-0","Urbano Caldeira (Vila Belmiro) (BRA)"
24,3,"2022-04-24","2-2","Estádio Gov. Magalhães Pinto (Mineirão) (BRA)"
25,3,"2022-04-24","1-1","Antônio Accioly (BRA)"
26,3,"2022-04-23","3-0","Arena Barueri (BRA)"
27,3,"2022-04-23","0-1","Estádio Jornalista Mário Filho (Maracanã) (BRA)"
28,3,"2022-04-23","1-0","Joaquim Américo Guimarães (Arena da Baixada) (BRA)"
29,3,"2022-04-23","1-1","Nabi Abi Chedid (BRA)"
30,4,"2022-04-20","0-0","Estádio Jornalista Mário Filho (Maracanã) (BRA)"
31,2,"2022-04-17","1-3","Governador Plácido Aderaldo Castelo (Castelão) (BRA)"
32,2,"2022-04-17","2-1","José Pinheiro Borda (Beira-Rio) (BRA)"
33,2,"2022-04-17","0-1","Joaquim Américo Guimarães (Arena da Baixada) (BRA)"
34,2,"2022-04-17","4-0","Nabi Abi Chedid (BRA)"
35,2,"2022-04-17","3-1","Estádio Jornalista Mário Filho (Maracanã) (BRA)"
36,2,"2022-04-17","2-1","Urbano Caldeira (Vila Belmiro) (BRA)"
37,2,"2022-04-17","0-1","Arena Pantanal (BRA)"
38,2,"2022-04-16","3-0","Neo Química Arena (Arena Corinthians) (BRA)"
39,2,"2022-04-16","4-1","Raimundo Sampaio (Arena Independência) (BRA)"
40,2,"2022-04-16","1-1","Hailé Pinheiro (Serrinha) (BRA)"
41,1,"2022-04-12","2-2","Alfredo Jaconi (BRA)"
42,1,"2022-04-10","1-0","Aderbal Ramos da Silva (Ressacada) (BRA)"
43,1,"2022-04-10","4-0","Cícero Pompeu de Toledo (Morumbi) (BRA)"
