idJogo,idEpoca,idEquipaCasa,idEquipaVisitante
1,1,14,7
2,1,19,15
3,1,8,9
4,1,20,2
5,1,12,16
6,1,14,4
7,1,18,13
8,1,1,3
9,1,5,11
10,1,6,17
11,1,7,10
12,1,9,12
13,1,2,19
14,1,4,8
15,1,15,3
16,1,11,20
17,1,16,18
18,1,13,7
19,1,10,6
20,1,17,14
21,1,19,13
22,1,20,16
23,1,12,10
24,1,7,15
25,1,18,11
26,1,1,4
27,1,3,2
28,1,6,5
29,1,14,9
30,1,5,1
31,1,17,11
32,1,2,8
33,1,6,7
34,1,14,18
35,1,5,9
36,1,12,15
37,1,16,3
38,1,4,19
39,1,10,20
40,1,13,1
41,1,20,14
42,1,19,10
43,1,9,6
44,1,8,16
45,1,11,4
46,1,7,2
47,1,15,13
48,1,1,17
49,1,18,5
50,1,3,12
51,1,2,1
52,1,12,8
53,1,4,7
54,1,10,18
55,1,14,3
56,1,17,20
57,1,6,11
58,1,16,15
59,1,13,9
60,1,5,19
61,1,11,12
62,1,7,16
63,1,1,10
64,1,20,5
65,1,18,6
66,1,8,14
67,1,3,13
68,1,15,4
69,1,19,17
70,1,9,2
71,1,7,11
72,1,16,1
73,1,15,5
74,1,8,18
75,1,2,6
76,1,4,17
77,1,13,20
78,1,14,10
79,1,3,9
80,1,12,19
81,1,5,4
82,1,1,8
83,1,20,15
84,1,19,14
85,1,18,12
86,1,6,13
87,1,10,2
88,1,9,7
89,1,11,16
90,1,17,3
91,1,13,4
92,1,16,19
93,1,7,20
94,1,9,18
95,1,8,15
96,1,4,3
97,1,2,17
98,1,13,10
99,1,11,14
100,1,5,12
101,1,6,1
102,1,8,7
103,1,16,13
104,1,15,2
105,1,18,17
106,1,20,9
107,1,3,11
108,1,1,19
109,1,10,5
110,1,12,4
111,1,14,6
112,1,9,15
113,1,14,12
114,1,19,3
115,1,6,15
116,1,20,18
117,1,11,2
118,1,17,16
119,1,1,9
120,1,10,8
121,1,5,7
122,1,12,20
123,1,18,1
124,1,7,17
125,1,3,10
126,1,15,14
127,1,9,11
128,1,8,19
129,1,2,13
130,1,4,6
131,1,16,5
132,1,10,9
133,1,19,11
134,1,1,15
135,1,12,7
136,1,5,2
137,1,6,8
138,1,17,13
139,1,14,16
140,1,18,3
141,1,20,4
142,1,11,1
143,1,4,16
144,1,5,14
145,1,19,18
146,1,6,20
147,1,13,8
148,1,2,12
149,1,7,3
150,1,17,10
151,1,7,1
152,1,13,11
153,1,2,14
154,1,16,10
155,1,3,20
156,1,4,18
157,1,8,5
158,1,15,17
159,1,12,6
160,1,9,19
161,1,18,2
162,1,6,16
163,1,1,12
164,1,10,4
165,1,20,8
166,1,17,9
167,1,5,3
168,1,14,13
169,1,11,15
170,1,19,7
171,1,13,5
172,1,9,4
173,1,15,18
174,1,19,6
175,1,11,10
176,1,1,20
177,1,3,8
178,1,17,12
179,1,2,16
180,1,7,14
181,1,12,13
182,1,16,9
183,1,18,7
184,1,8,11
185,1,4,2
186,1,5,17
187,1,10,15
188,1,6,3
189,1,14,1
190,1,20,19
191,1,4,14
192,1,2,20
